teacher,n_datasets_with_acceptance,n_seed_cells_accepted,mean_regret,ci_low,ci_high,delta_NI,non_inferior
QELM,1,1,0.0,0.0,0.0,0.02,True
VQC,2,2,0.0660112998873439,0.0,0.1320225997746878,0.02,False
QRC,1,2,-0.060633963143302445,-0.060633963143302445,-0.060633963143302445,0.02,True
QKRR,2,3,0.08865199261707411,-0.10493750211956046,0.2822414873537087,0.02,False
