teacher_family,teacher,method,n_seed_runs,n_datasets,mean_MASE,median_MASE,std_MASE,mean_gate
classical_control,ESN,HardRejectSR,30,6,9.91900870969908,0.9036817561837222,15.192165472345893,0.3333333333333333
classical_control,ESN,NaiveKD,30,6,9.894416033367195,1.1123645936329996,14.69678014799444,1.0
classical_control,ESN,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
classical_control,ESN,SoftSR,30,6,9.91900870969908,0.9036817561837222,15.192165472345893,0.3333333333333333
classical_control,ESN,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
classical_control,RFF,HardRejectSR,30,6,8.986619414215685,0.9036817561837222,14.569066990800408,0.13333333333333333
classical_control,RFF,NaiveKD,30,6,8.923318556764876,0.9796943283483335,13.896282819045007,1.0
classical_control,RFF,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
classical_control,RFF,SoftSR,30,6,8.986619414215685,0.9036817561837222,14.569066990800408,0.13333333333333333
classical_control,RFF,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QELM,HardRejectSR,30,6,8.869588042382874,0.9171815709104093,14.532041066867535,0.03333333333333333
quantum,QELM,NaiveKD,30,6,9.869249439677459,1.5684307166257074,13.895080939636726,1.0
quantum,QELM,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QELM,SoftSR,30,6,8.869588042382874,0.9171815709104093,14.532041066867535,0.03333333333333333
quantum,QELM,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QKRR,HardRejectSR,30,6,9.018458886474233,0.9171815709104093,14.634258879138727,0.06666666666666667
quantum,QKRR,NaiveKD,30,6,9.392766846206639,1.3070471469605072,13.98501669872138,1.0
quantum,QKRR,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QKRR,SoftSR,30,6,8.98793543064775,0.9036817561837222,14.651160779101538,0.0720355342373489
quantum,QKRR,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QRC,HardRejectSR,30,6,8.867304811379627,0.9171815709104093,14.533271615933197,0.06666666666666667
quantum,QRC,NaiveKD,30,6,12.682000653402616,2.002153135280988,16.694071727681045,1.0
quantum,QRC,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,QRC,SoftSR,30,6,8.861358826879469,0.9171815709104093,14.536438170530515,0.05298839070670722
quantum,QRC,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,VQC,HardRejectSR,30,6,8.9398433311597,0.9171815709104093,14.573753102653964,0.06666666666666667
quantum,VQC,NaiveKD,30,6,9.491185551524403,1.5256472053970895,14.099538253886687,1.0
quantum,VQC,PersistenceGateKD,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
quantum,VQC,SoftSR,30,6,8.9398433311597,0.9171815709104093,14.573753102653964,0.06666666666666667
quantum,VQC,Standalone,30,6,8.873951789744845,0.9171815709104093,14.52983642465694,0.0
