dataset,seed,teacher,eval_MASE__Standalone,eval_MASE__NaiveKD,eval_MASE__SoftSR,regret__NaiveKD,regret__SoftSR,gate__SoftSR
Exchange,51,QKRR,16.08185257703611,20.620818567781853,20.620818567781853,0.2822414873537087,0.2822414873537087,1.0
Exchange,51,VQC,16.08185257703611,18.20502056344968,18.20502056344968,0.1320225997746878,0.1320225997746878,1.0
