dataset,MASE_mean,MASE_median,MASE_std,MAE_mean,RMSE_mean,sMAPE_mean
AAPL,34.506397788092244,31.929885966842217,13.88585632152704,74.81824720374632,80.5218545789493,75.62802596837477
ETTh1,0.6459212341191412,0.5659521485640768,0.17289013481813878,1.5248038541181312,2.023522103207371,15.454577047492005
ETTm2,1.0908918082997638,0.9212786030945712,0.6109230874895594,3.294765875621637,4.184677534363564,9.518726771059864
Energy,0.9063680060632094,0.8942789736411969,0.024121453533154584,1949.5632165893555,2631.1628838571,6.14758884133018
Exchange,15.67339687219777,16.08185257703611,11.37026565843552,0.05010960902167407,0.055694735301772456,7.359968566253518
Jena,0.42073502969694954,0.4239913095370463,0.01645825441527971,1.1097454518802696,1.5664688492619594,17.991510966199982
